index;control;cultivar;Tipo;Produto;Ano;Quantidade (Kg)
0;TINTAS;TINTAS;Processamento;Uva Americana;1970;284285642
1;ti_Bacarina;Bacarina;Processamento;Uva Americana;1970;82899
2;ti_Bailey;Bailey;Processamento;Uva Americana;1970;0
3;ti_Bordo;Bordo;Processamento;Uva Americana;1970;7242197
4;ti_Bourdin (S);Bourdin (S);Processamento;Uva Americana;1970;0
5;ti_BRSCarmen;BRS Carmen;Processamento;Uva Americana;1970;0
6;ti_BRSCora;BRS Cora;Processamento;Uva Americana;1970;0
7;ti_BRS Magna;BRS Magna;Processamento;Uva Americana;1970;0
8;ti_BRS Margot;BRS Margot;Processamento;Uva Americana;1970;0
9;ti_BRSMorena;BRS Morena;Processamento;Uva Americana;1970;0
10;ti_BRS Rúbea;BRS Rúbea;Processamento;Uva Americana;1970;0
11;ti_BRSVioleta;BRS Violeta;Processamento;Uva Americana;1970;0
12;ti_BRS Vitória;BRS Vitória;Processamento;Uva Americana;1970;0
13;ti_Champagnon(Champanheta);Champagnon (Champanheta);Processamento;Uva Americana;1970;0
14;ti_Coleções;Coleções;Processamento;Uva Americana;1970;0
15;ti_Concord;Concord;Processamento;Uva Americana;1970;5407624
16;ti_Concordclone30;Concord clone 30;Processamento;Uva Americana;1970;0
17;ti_Couderc;Couderc;Processamento;Uva Americana;1970;2713692
18;ti_Cynthiana(1);Cynthiana(1);Processamento;Uva Americana;1970;568653
19;ti_Herbemont;Herbemont;Processamento;Uva Americana;1970;62053013
20;ti_IAC138022;IAC 138022;Processamento;Uva Americana;1970;0
21;ti_Isabel;Isabel;Processamento;Uva Americana;1970;193840398
22;ti_IsabelPrecoce;Isabel Precoce;Processamento;Uva Americana;1970;0
23;ti_Jacquez;Jacquez;Processamento;Uva Americana;1970;390593
24;ti_Kyoko;Kyoko;Processamento;Uva Americana;1970;0
25;ti_Landot;Landot;Processamento;Uva Americana;1970;134384
26;ti_Mistura de uvas americanas tinto;Mistura de uvas americanas tinto;Processamento;Uva Americana;1970;0
27;ti_Oberlin;Oberlin;Processamento;Uva Americana;1970;15682
28;ti_Othello;Othello;Processamento;Uva Americana;1970;33013
29;ti_Paco;Paco;Processamento;Uva Americana;1970;0
30;ti_Patricia;Patricia;Processamento;Uva Americana;1970;0
31;ti_Seibel;Seibel;Processamento;Uva Americana;1970;11803494
32;ti_Seibel2(seibeleto);Seibel 2 (seibeleto);Processamento;Uva Americana;1970;0
33;ti_SeyveWillard(Tinta);Seyve Willard (Tinta);Processamento;Uva Americana;1970;0
34;ti_Vênus;Vênus;Processamento;Uva Americana;1970;0
35;BRANCASEROSADAS;BRANCAS E ROSADAS;Processamento;Uva Americana;1970;985007
36;br_Baco;Baco;Processamento;Uva Americana;1970;4647
37;br_Bokay;Bokay;Processamento;Uva Americana;1970;0
38;br_BRSClara;BRS Clara;Processamento;Uva Americana;1970;0
39;br_BRSLorena;BRS Lorena;Processamento;Uva Americana;1970;0
40;br_Couderc13;Couderc 13;Processamento;Uva Americana;1970;0
41;br_Delaware;Delaware;Processamento;Uva Americana;1970;22705
42;br_DonaZillá;Dona Zillá;Processamento;Uva Americana;1970;0
43;br_DutChess;Dut Chess;Processamento;Uva Americana;1970;0
44;br_Goethe;Goethe;Processamento;Uva Americana;1970;311458
45;br_IAC;IAC;Processamento;Uva Americana;1970;0
46;br_Juliana;Juliana;Processamento;Uva Americana;1970;0
47;br_Martha;Martha;Processamento;Uva Americana;1970;15045
48;br_Mistura de uvas americanas;Mistura de uvas americanas;Processamento;Uva Americana;1970;0
49;br_MoscatoEmbrapa;Moscato Embrapa;Processamento;Uva Americana;1970;0
50;br_Niagara;Niagara;Processamento;Uva Americana;1970;631152
51;br_NiagaraBranca;Niagara Branca;Processamento;Uva Americana;1970;0
52;br_NiagaraRosada;Niagara Rosada;Processamento;Uva Americana;1970;0
53;br_Poloske;Poloske;Processamento;Uva Americana;1970;0
54;br_Seleções;Seleções;Processamento;Uva Americana;1970;0
55;br_SeyveVillard;Seyve Villard;Processamento;Uva Americana;1970;0
56;br_SeyveVillard5276;Seyve Villard 5276;Processamento;Uva Americana;1970;0
57;br_SeyveVillard12375;Seyve Villard 12375;Processamento;Uva Americana;1970;0
58;br_TardiadeCaxias;Tardia de Caxias;Processamento;Uva Americana;1970;0
59;br_Outras;Outras(2);Processamento;Uva Americana;1970;0
60;TINTAS;TINTAS;Processamento;Uva de Mesa;1970;56976
61;ti_ Alphonse Lavallee; Alphonse Lavallee;Processamento;Uva de Mesa;1970;31878
62;ti_ Moscato de Hamburgo; Moscato de Hamburgo;Processamento;Uva de Mesa;1970;25098
63;BRANCAS;BRANCAS;Processamento;Uva de Mesa;1970;3900
64;br_Cardinal; Cardinal;Processamento;Uva de Mesa;1970;0
65;br_Golden Queen; Golden Queen;Processamento;Uva de Mesa;1970;167
