Tipo;Produto;Ano;Quantidade
VINHO DE MESA;VINHO DE MESA;1970;217208604
vm_Tinto;Tinto;1970;174224052
vm_Branco;Branco;1970;748400
vm_Rosado;Rosado;1970;42236152
VINHO FINO DE MESA (VINÍFERA);VINHO FINO DE MESA (VINÍFERA);1970;23899346
vv_Tinto;Tinto;1970;7591557
vv_Branco;Branco;1970;15562889
vv_Rosado;Rosado;1970;744900
SUCO;SUCO;1970;1097771
su_Suco de uva simples;Suco de uva integral;1970;1097771
su_Suco concentrado;Suco de uva concentrado;1970;0
su_Suco de uva adoçado;Suco de uva adoçado;1970;0
su_Suco de uva orgânico;Suco de uva orgânico;1970;0
su_Suco de uva reconstituído;Suco de uva reconstituído;1970;0
DERIVADOS;DERIVADOS;1970;14164329
de_Espumante;Espumante;1970;0
de_Espumante moscatel;Espumante moscatel;1970;0
de_Base espumante;Base espumante;1970;0
de_Base espumante moscatel;Base espumante moscatel;1970;0
de_Base Champenoise champanha;Base Champenoise champanha;1970;0
de_Base Charmat champanha;Base Charmat champanha;1970;0
de_Bebida de uva;Bebida de uva;1970;0
de_Polpa de uva;Polpa de uva;1970;0
de_Mosto simples;Mosto simples;1970;7170736
de_Mosto concentrado;Mosto concentrado;1970;0
de_Mosto de uva com bagaço;Mosto de uva com bagaço;1970;0
de_Mosto dessulfitado;Mosto dessulfitado;1970;0
de_Mistelas;Mistelas;1970;1072100
de_Néctar de uva;Néctar de uva;1970;0
de_Licorosos;Licorosos;1970;282500
de_Compostos;Compostos;1970;0
de_Jeropiga;Jeropiga;1970;0
de_Filtrado;Filtrado;1970;0
de_Frisante;Frisante;1970;0
de_Vinho leve;Vinho leve;1970;0
de_Vinho licoroso;Vinho licoroso;1970;0
de_Brandy;Brandy;1970;0
de_Destilado;Destilado;1970;830030
de_Bagaceira;Bagaceira;1970;961290
de_Licor de bagaceira;Licor de bagaceira;1970;0
de_Vinagre;Vinagre;1970;0
de_Borra líquida;Borra líquida;1970;3847673
de_Borra seca;Borra seca;1970;0
de_Vinho Composto;Vinho Composto;1970;0
de_Pisco;Pisco;1970;0
de_Vinho orgânico;Vinho orgânico;1970;0
de_Espumante orgânico;Espumante orgânico;1970;0
de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;1970;0
de_Vinho acidificado ;Vinho acidificado ;1970;0
de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;1970;0
de_Outros derivados;Outros derivados;1970;0
VINHO DE MESA;VINHO DE MESA;1971;154264651
vm_Tinto;Tinto;1971;121133369
vm_Branco;Branco;1971;1160500
vm_Rosado;Rosado;1971;31970782
VINHO FINO DE MESA (VINÍFERA);VINHO FINO DE MESA (VINÍFERA);1971;23586062
